,id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,oil_chemistry_raion,nuclear_reactor_raion,full_all,young_all,work_all,ekder_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_avto,metro_km_walk,radiation_km,price_doc
17101,12847,2013-12-05,32,16.0,1.0,12.0,1.0,1974.0,1.0,7.0,3.0,Mar'ina Roshha,4684027.803,65972,3,0,7,no,no,26943,7150,43472,15350,4.539165036,0.311600011,0.492896512,2.457300974,0.353121164,0.353121164,3.343987248,6450000
22708,24918,2014-11-19,85,40.0,18.0,20.0,6.0,2017.0,3.0,10.0,1.0,Mitino,12583535.69,178473,1,0,11,no,no,21155,28563,120381,29529,18.20669035,1.331231745,1.141170803,15.97189131,0.617664322,0.617664322,4.976837202,11331272
24814,29286,2015-04-21,60,43.0,2.0,9.0,1.0,1975.0,3.0,6.0,2.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,12.76240802,0.641999298,1.925914978,12.34956276,3.1284153160000003,2.9531724410000004,1.133380598,9750000
16707,11969,2013-11-08,37,1.0,2.0,30.0,4.0,2014.0,1.0,1.0,1.0,Severnoe Tushino,9249237.174,156377,3,0,5,no,no,53786,22961,93843,39573,15.32993679,1.314803491,1.399305623,14.51386004,1.040221544,1.040221544,2.312847424,7504715
23913,27449,2015-01-22,77,44.0,11.0,14.0,1.0,2011.0,3.0,8.0,3.0,Kuncevo,52351766.54,142462,0,0,3,no,no,78507,19784,85551,37127,11.76025087,2.246293264,0.557198521,11.47239826,1.124594984,1.124594984,0.972945562,3000000
17999,14795,2014-02-10,37,18.0,2.0,17.0,1.0,2003.0,2.0,7.0,3.0,Nagatino-Sadovniki,7750777.821,76284,2,0,10,no,no,76156,10168,46080,20036,8.07249435,2.002200556,0.41419774,8.60998877,0.875918793,0.782858032,2.880284886,7800000
21894,23159,2014-09-30,76,42.0,11.0,18.0,1.0,2007.0,3.0,11.0,3.0,Kuncevo,52351766.54,142462,0,0,3,no,no,78507,19784,85551,37127,11.66272129,1.69614922,0.135520867,11.57125977,1.503908882,1.503908882,1.311224624,16300000
20623,20528,2014-07-02,52,23.0,3.0,9.0,2.0,1998.0,1.0,12.0,3.0,Poselenie Voskresenskoe,21494094.8,7122,0,0,0,no,no,9553,1021,4568,1533,26.12072995,2.3648689,3.942507942,36.34599683,4.948072205,4.948072205,8.608889846,5400000
21812,22986,2014-09-27,63,33.0,17.0,17.0,1.0,2006.0,2.0,12.0,4.0,Kosino-Uhtomskoe,14883622.34,72131,1,0,0,no,no,102828,13954,49242,8935,16.60898785,2.503582997,2.195266113,22.28088017,0.924769039,0.884959077,1.357528764,9750000
21011,21303,2014-08-05,31,18.0,2.0,5.0,2.0,1965.0,1.0,5.0,3.0,Juzhnoe Tushino,7887684.174,104434,0,0,1,no,no,105663,12906,65729,25799,14.33806859,1.480230109,0.532575183,13.0449436,1.37555182,1.37555182,1.967255584,5600000
18807,16561,2014-03-26,36,19.0,8.0,16.0,1.0,1978.0,1.0,9.0,2.0,Zjablikovo,4602089.659,130229,0,0,5,no,no,48439,18221,82231,29777,15.89363829,2.245720733,3.656068259,17.46840712,0.262996413,0.262996413,1.37804921,5950000
23432,26461,2014-12-15,45,28.0,2.0,5.0,1.0,1966.0,2.0,5.0,2.0,Severnoe Tushino,9249237.174,156377,3,0,5,no,no,53786,22961,93843,39573,15.39343338,1.6515895390000002,1.171748249,15.14908508,0.531403425,0.531403425,2.632673211,7000000
19061,17101,2014-04-08,38,19.0,9.0,14.0,1.0,2000.0,1.0,7.0,3.0,Nagatino-Sadovniki,7750777.821,76284,2,0,10,no,no,76156,10168,46080,20036,9.832965876,0.618887903,0.436175938,10.20495779,2.413486092,1.751057157,0.157461238,6650000
